Year,Month,Day,CountofINVOICE_NO,PRODUCT_AMOUNT,PRODUCT_VOLUME
2018,January,30,16889,489079.27,187852.466
2018,March,10,17444,486419.5,193977.603
2018,April,22,16510,485074.76,175637.404
2018,February,20,16878,484551.75,191577.599
2018,January,10,17179,483417.25,192336.67
2018,March,17,17186,480797.62,189871.206
2018,February,19,16886,480104.82,190301.996
2018,January,18,16892,479932.27,187920.205
2018,February,7,16349,474705.02,182176.218
2018,March,21,16454,474181.67,185481.056
2018,February,3,16596,473693.76,181619.175
2018,March,7,16512,473624.47,188247.228
2018,April,8,16508,473236.69,178522.839
2018,March,13,16617,470673.78,187012.925
2018,May,27,15245,470401.64,158704.275
2018,January,22,16318,469574.85,184108.951
2018,February,24,16764,469170.81,186544.712
2018,January,16,16349,467356.93,182424.03
2018,February,17,16562,462645.75,182786.422
2018,January,23,15996,459997.14,179685.064
2018,January,9,16359,459002.22,184120.675
2018,March,18,16590,458715.81,180370.412
2018,April,15,15549,449858.59,166648.915
2018,March,25,16119,449790.86,173125.042
2018,January,8,15761,447006.84,179109.597
2018,January,27,15855,445075.61,172377.603
2018,April,1,15656,443243.41,167105.855
2018,February,10,15647,441932.06,170639.907
2018,January,20,15926,440091.52,173180.775
2018,March,4,15738,432256.26,171099.917
2018,March,11,15379,424380.83,168202.342
2018,January,13,15399,423803.08,167849.794
2018,January,4,15071,420137.32,168699.252
2018,January,6,15391,417815.04,167732.289
2018,February,25,15058,416543.52,165529.039
2018,January,17,14377,411241.79,160206.168
2018,January,28,14315,397382.91,153585.586
2018,February,18,14451,396444.08,156967.476
2018,February,11,13977,388129.63,150346.393
2018,January,14,14124,386765.38,152923.96
2018,January,21,13644,371110.84,145896.729
2018,January,7,13670,369553.54,147611.754
2018,February,4,13215,369007.38,141888.856
2018,January,1,12872,342368.95,137091.284
